ZIP_CODE,DMA_code,DMA
80428,751,DENVER
80429,751,DENVER
80430,751,DENVER
80432,751,DENVER
80433,751,DENVER
80434,751,DENVER
80435,751,DENVER
80436,751,DENVER
80437,751,DENVER
80438,751,DENVER
80439,751,DENVER
80440,751,DENVER
80442,751,DENVER
80443,751,DENVER
80444,751,DENVER
80446,751,DENVER
80447,751,DENVER
80448,751,DENVER
80449,751,DENVER
80451,751,DENVER
80452,751,DENVER
80453,751,DENVER
80454,751,DENVER
80455,751,DENVER
80456,751,DENVER
80457,751,DENVER
80459,751,DENVER
80461,751,DENVER
80463,751,DENVER
80465,751,DENVER
80466,751,DENVER
80467,751,DENVER
80468,751,DENVER
80469,751,DENVER
80470,751,DENVER
80471,751,DENVER
80473,751,DENVER
80474,751,DENVER
80475,751,DENVER
80476,751,DENVER
80477,751,DENVER
80478,751,DENVER
80479,751,DENVER
80480,751,DENVER
80481,751,DENVER
80482,751,DENVER
80483,751,DENVER
80487,751,DENVER
80488,751,DENVER
80497,751,DENVER
80498,751,DENVER
80501,751,DENVER
80502,751,DENVER
80503,751,DENVER
80504,751,DENVER
80510,751,DENVER
80511,751,DENVER
80512,751,DENVER
80513,751,DENVER
80514,751,DENVER
80515,751,DENVER
80516,751,DENVER
80517,751,DENVER
80520,751,DENVER
80521,751,DENVER
80522,751,DENVER
80523,751,DENVER
80524,751,DENVER
80525,751,DENVER
80526,751,DENVER
80527,751,DENVER
80528,751,DENVER
80530,751,DENVER
80532,751,DENVER
80533,751,DENVER
80534,751,DENVER
80535,751,DENVER
80536,751,DENVER
80537,751,DENVER
80538,751,DENVER
80539,751,DENVER
80540,751,DENVER
80541,751,DENVER
80542,751,DENVER
80543,751,DENVER
80544,751,DENVER
80545,751,DENVER
80546,751,DENVER
80547,751,DENVER
80549,751,DENVER
80550,751,DENVER
80551,751,DENVER
80553,751,DENVER
80601,751,DENVER
80602,751,DENVER
80603,751,DENVER
80610,751,DENVER
80611,751,DENVER
80612,751,DENVER
80614,751,DENVER
80615,751,DENVER
80620,751,DENVER
80621,751,DENVER
80622,751,DENVER
80623,751,DENVER
80624,751,DENVER
80631,751,DENVER
80632,751,DENVER
80633,751,DENVER
80634,751,DENVER
80638,751,DENVER
80639,751,DENVER
80640,751,DENVER
80642,751,DENVER
80643,751,DENVER
80644,751,DENVER
80645,751,DENVER
80646,751,DENVER
80648,751,DENVER
80649,751,DENVER
80650,751,DENVER
80651,751,DENVER
80652,751,DENVER
80653,751,DENVER
80654,751,DENVER
80701,751,DENVER
80705,751,DENVER
80720,751,DENVER
80721,751,DENVER
80722,751,DENVER
80723,751,DENVER
80726,751,DENVER
80727,751,DENVER
80728,751,DENVER
80729,751,DENVER
80731,751,DENVER
80732,751,DENVER
80733,751,DENVER
80734,751,DENVER
80735,751,DENVER
80736,751,DENVER
80737,751,DENVER
80740,751,DENVER
80741,751,DENVER
80742,751,DENVER
80743,751,DENVER
80744,751,DENVER
80745,751,DENVER
80746,751,DENVER
80747,751,DENVER
80749,751,DENVER
80750,751,DENVER
80751,751,DENVER
80754,751,DENVER
80755,751,DENVER
80757,751,DENVER
80758,751,DENVER
80759,751,DENVER
80801,751,DENVER
80802,751,DENVER
80804,751,DENVER
80805,751,DENVER
80807,751,DENVER
80808,752,COLORADO SPRINGS - PUEBLO
80809,752,COLORADO SPRINGS - PUEBLO
80810,751,DENVER
80812,751,DENVER
80813,752,COLORADO SPRINGS - PUEBLO
80814,752,COLORADO SPRINGS - PUEBLO
80815,751,DENVER
80816,752,COLORADO SPRINGS - PUEBLO
80817,752,COLORADO SPRINGS - PUEBLO
80818,751,DENVER
80819,752,COLORADO SPRINGS - PUEBLO
80820,751,DENVER
80821,751,DENVER
80822,751,DENVER
80823,751,DENVER
80824,751,DENVER
80825,751,DENVER
80826,751,DENVER
80827,751,DENVER
80828,751,DENVER
80829,752,COLORADO SPRINGS - PUEBLO
80830,751,DENVER
80831,752,COLORADO SPRINGS - PUEBLO
80832,752,COLORADO SPRINGS - PUEBLO
80833,752,COLORADO SPRINGS - PUEBLO
80834,751,DENVER
80835,751,DENVER
80836,751,DENVER
80840,752,COLORADO SPRINGS - PUEBLO
80841,752,COLORADO SPRINGS - PUEBLO
80860,752,COLORADO SPRINGS - PUEBLO
80861,751,DENVER
80862,751,DENVER
80863,752,COLORADO SPRINGS - PUEBLO
80864,752,COLORADO SPRINGS - PUEBLO
80866,752,COLORADO SPRINGS - PUEBLO
80901,752,COLORADO SPRINGS - PUEBLO
80902,752,COLORADO SPRINGS - PUEBLO
80903,752,COLORADO SPRINGS - PUEBLO
80904,752,COLORADO SPRINGS - PUEBLO
80905,752,COLORADO SPRINGS - PUEBLO
80906,752,COLORADO SPRINGS - PUEBLO
80907,752,COLORADO SPRINGS - PUEBLO
80908,752,COLORADO SPRINGS - PUEBLO
80909,752,COLORADO SPRINGS - PUEBLO
80910,752,COLORADO SPRINGS - PUEBLO
80911,752,COLORADO SPRINGS - PUEBLO
80912,752,COLORADO SPRINGS - PUEBLO
80913,752,COLORADO SPRINGS - PUEBLO
80914,752,COLORADO SPRINGS - PUEBLO
80915,752,COLORADO SPRINGS - PUEBLO
80916,752,COLORADO SPRINGS - PUEBLO
80917,752,COLORADO SPRINGS - PUEBLO
80918,752,COLORADO SPRINGS - PUEBLO
80919,752,COLORADO SPRINGS - PUEBLO
80920,752,COLORADO SPRINGS - PUEBLO
80921,752,COLORADO SPRINGS - PUEBLO
80922,752,COLORADO SPRINGS - PUEBLO
80923,752,COLORADO SPRINGS - PUEBLO
80924,752,COLORADO SPRINGS - PUEBLO
80925,752,COLORADO SPRINGS - PUEBLO
80926,752,COLORADO SPRINGS - PUEBLO
80927,752,COLORADO SPRINGS - PUEBLO
80928,752,COLORADO SPRINGS - PUEBLO
80929,752,COLORADO SPRINGS - PUEBLO
80930,752,COLORADO SPRINGS - PUEBLO
80931,752,COLORADO SPRINGS - PUEBLO
80932,752,COLORADO SPRINGS - PUEBLO
